id,value
id_0,6.3191237709629515
id_1,18.331911279807127
id_2,23.345374101184102
id_3,8.829827793440852
id_4,26.28663766622271
id_5,21.86131623598751
id_6,23.50253604372682
id_7,29.60192335532959
id_8,15.866850032564994
id_9,58.07821493054267
id_10,12.447527052950937
id_11,10.877573923312756
id_12,64.6565696070586
id_13,52.61500098830772
id_14,22.672949185822322
id_15,11.844629445165408
id_16,31.385721634644636
id_17,67.60364593974197
id_18,2.4474929875228586
id_19,17.05269405293385
id_20,41.26307600461327
id_21,73.68519923719967
id_22,9.39648874163382
id_23,17.56160891717642
id_24,13.766892303854592
id_25,37.861609816480126
id_26,13.953305346726385
id_27,71.15767090532607
id_28,6.497875635894033
id_29,56.274590351867495
id_30,23.863214279332446
id_31,9.728765213735104
id_32,3.7886580299768866
id_33,21.394963220532247
id_34,29.329658284265797
id_35,36.651305770808364
id_36,43.87558823502711
id_37,30.917753504964498
id_38,40.574495681340565
id_39,36.51174503293935
id_40,8.568826330648655
id_41,39.7251857103018
id_42,29.62020029046772
id_43,49.87262199928902
id_44,17.61112381303566
id_45,35.71774582207652
id_46,25.023702101161007
id_47,9.988862430863682
id_48,26.140331185064156
id_49,33.2784962808117
id_50,18.93691150405259
id_51,9.036620999306844
id_52,19.723629513710154
id_53,53.61811410840423
id_54,15.201655135347021
id_55,35.852446584620225
id_56,33.29720079115174
id_57,20.079983094559417
id_58,57.39491419288354
id_59,23.483950779840434
id_60,16.21790745942506
id_61,43.81024143030439
id_62,10.848043023400773
id_63,49.05654143524528
id_64,16.184003496792556
id_65,16.15777344890639
id_66,14.291445522177993
id_67,0.6994623354412539
id_68,42.91129877015976
id_69,28.259986746084945
id_70,22.788536689347055
id_71,41.94843424497011
id_72,60.25487775830257
id_73,6.5170676426054985
id_74,16.45516044116897
id_75,4.373995950864491
id_76,40.08344431893495
id_77,15.346562531246143
id_78,20.35594053912377
id_79,20.842635846968307
id_80,22.305154136794222
id_81,40.39622099531614
id_82,20.17017630334056
id_83,95.08374212760599
id_84,37.430810930152546
id_85,28.01317441548013
id_86,21.58445443180877
id_87,34.76849794138738
id_88,22.619344026809095
id_89,19.447196823000166
id_90,28.33878209555912
id_91,42.55449984927587
id_92,6.548107440422569
id_93,39.37288252386538
id_94,47.45816811407327
id_95,18.41181712989956
id_96,32.259869501424745
id_97,13.561176665077696
id_98,23.989270343188196
id_99,4.368108719320984
id_100,17.968942252535975
id_101,28.12937389482503
id_102,16.147344879358727
id_103,15.012810308457404
id_104,23.727250569039843
id_105,39.63503750757344
id_106,33.13056999468733
id_107,7.207602001855272
id_108,6.335646729711989
id_109,78.51072997722439
id_110,47.36389949696678
